"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA050 Sex differences: gathering,Code: EA050 Sex differences: gathering,Description: EA050 Sex differences: gathering,Comment: EA050 Sex differences: gathering,Subcase: EA050 Sex differences: gathering,References: EA050 Sex differences: gathering,Focal Year: EA052 Sex Differences: fishing,Code: EA052 Sex Differences: fishing,Description: EA052 Sex Differences: fishing,Comment: EA052 Sex Differences: fishing,Subcase: EA052 Sex Differences: fishing,References: EA052 Sex Differences: fishing,Focal Year: EA054 Sex differences: agriculture,Code: EA054 Sex differences: agriculture,Description: EA054 Sex differences: agriculture,Comment: EA054 Sex differences: agriculture,Subcase: EA054 Sex differences: agriculture,References: EA054 Sex differences: agriculture,Focal Year: EA051 Sex differences: hunting,Code: EA051 Sex differences: hunting,Description: EA051 Sex differences: hunting,Comment: EA051 Sex differences: hunting,Subcase: EA051 Sex differences: hunting,References: EA051 Sex differences: hunting
Ethnographic Atlas,Krahn,Af47,xd227,Kran (Af47),6.0,-8.0,6.0,-8.0,west2488,Western Krahn,krw,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Songo,Ac25,xd50,Songo (Ac25),-5.0,18.0,-5.0,18.0,song1299,Songo,soo,Atlantic-Congo,1930,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,with reference to the tribe of this name on the Luniunga and Gobari rivers,Beaucorps(1951); Beaucorps(1921); Richards(1950); ,,NA,Missing data,,,,1930,5,"Both sexes participate, but females do appreciably more than males",,with reference to the tribe of this name on the Luniunga and Gobari rivers,Beaucorps(1951); Beaucorps(1921); Richards(1950); ,1930,1,"Males alone perform the activity, female participation being negligible",,with reference to the tribe of this name on the Luniunga and Gobari rivers,Beaucorps(1951); Beaucorps(1921); Richards(1950); 
Ethnographic Atlas,Temne,Af57,xd238,Temne (Af57),8.46,-12.64,8.0,-13.0,timn1235,Timne,tem,Atlantic-Congo,,NA,Missing data,,,,1910,5,"Both sexes participate, but females do appreciably more than males",,,Thomas(1916); McCulloch(1950); Langley(1939); ,1910,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Thomas(1916); McCulloch(1950); Langley(1939); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Thomas(1916); McCulloch(1950); Langley(1939); 
Ethnographic Atlas,Maasi,Aj2,xd395,Masai (Aj2),-2.0,36.0,-2.0,36.0,masa1300,Masai,mas,Nilotic,1900,9,The activity is absent or unimportant in the particular society,,Kisonko or Southern Masai of Tanzania,Fosbrooke(1948); Huntingford(1953b); Merker(1904); Hollis(1905); Baumann(1894); ,1900,9,The activity is absent or unimportant in the particular society,,Kisonko or Southern Masai of Tanzania,Fosbrooke(1948); Huntingford(1953b); Merker(1904); Hollis(1905); Baumann(1894); ,1900,9,The activity is absent or unimportant in the particular society,,Kisonko or Southern Masai of Tanzania,Fosbrooke(1948); Huntingford(1953b); Merker(1904); Hollis(1905); Baumann(1894); ,1900,1,"Males alone perform the activity, female participation being negligible",,Kisonko or Southern Masai of Tanzania,Fosbrooke(1948); Huntingford(1953b); Merker(1904); Hollis(1905); Baumann(1894); 
Ethnographic Atlas,Bakovi,Ig15,xd847,Bakovi (Ig15),-5.42,150.05,-5.0,150.0,bola1250,Bola,bnp,Austronesian,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Bomvana,Ab21b,xd24,Bomvana (Ab21b),-32.0,28.0,-32.0,28.0,bomv1238,Bomvana,,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Spanish Basques,Ce8,xd535,Spanish Basques (Ce8),43.0,-2.0,43.0,-2.0,west1508,Western Low Navarrese,,Basque,1934,9,The activity is absent or unimportant in the particular society,,with special reference to the village of Vera,Douglass(1967); Caro Baroja(1944); ,1934,1,"Males alone perform the activity, female participation being negligible",,with special reference to the village of Vera,Douglass(1967); Caro Baroja(1944); ,1934,2,"Both sexes participate, but males do appreciably more than females",,with special reference to the village of Vera,Douglass(1967); Caro Baroja(1944); ,1934,1,"Males alone perform the activity, female participation being negligible",,with special reference to the village of Vera,Douglass(1967); Caro Baroja(1944); 
Ethnographic Atlas,Marri,Ea10,xd597,Marri (Ea10),30.0,69.0,30.0,69.0,east2304,Eastern Balochi,bgp,Indo-European,1950,6,"Females alone perform the activity, male participation being negligible",,with special reference to the more nomadic groups,Pehrson(1966); ,1950,9,The activity is absent or unimportant in the particular society,,with special reference to the more nomadic groups,Pehrson(1966); ,1950,2,"Both sexes participate, but males do appreciably more than females",,with special reference to the more nomadic groups,Pehrson(1966); ,,NA,Missing data,,,
Ethnographic Atlas,Vai,Af58,xd239,Vai (Af58),6.89,-11.2,7.0,-12.0,vaii1241,Vai,vai,Mande,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Mbundu,Ab5,xd28,Mbundu (Ab5),-12.0,16.0,-12.0,16.0,umbu1257,Umbundu,umb,Atlantic-Congo,1930,6,"Females alone perform the activity, male participation being negligible",,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); ,1930,2,"Both sexes participate, but males do appreciably more than females",,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); ,1930,5,"Both sexes participate, but females do appreciably more than males",,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); ,1930,1,"Males alone perform the activity, female participation being negligible",,,Edwards(1962); Duffy(1959); Childs(1949); McCulloch(1952); Hambly(1934); 
