Glottolog	GB_Feature	Gender_Value
abau1245	GB051	1
abui1241	GB051	0
acha1250	GB051	1
ache1245	GB051	0
ache1246	GB051	NA
adze1240	GB051	NA
aghu1254	GB051	0
aghw1237	GB051	1
agua1253	GB051	0
aika1237	GB051	NA
ainu1240	GB051	0
aito1238	GB051	0
ajab1235	GB051	0
ajas1235	GB051	0
ajyi1238	GB051	1
akaj1239	GB051	0
akan1250	GB051	0
alag1248	GB051	1
alam1246	GB051	1
alya1239	GB051	0
amas1236	GB051	0
ambu1247	GB051	1
amha1245	GB051	1
ando1256	GB051	1
anem1249	GB051	1
anin1240	GB051	1
anua1242	GB051	0
apol1242	GB051	NA
apur1254	GB051	1
arab1267	GB051	1
aram1253	GB051	NA
araw1276	GB051	1
arch1244	GB051	1
arhu1242	GB051	0
aros1241	GB051	NA
asha1243	GB051	1
asoa1238	GB051	0
atam1239	GB051	NA
avat1244	GB051	0
avok1242	GB051	0
awab1243	GB051	0
awac1239	GB051	0
ayac1239	GB051	0
ayiw1239	GB051	NA
baga1273	GB051	0
bagi1246	GB051	0
bagv1239	GB051	1
baha1259	GB051	1
baha1260	GB051	0
baka1272	GB051	0
baka1274	GB051	0
bali1278	GB051	1
balo1261	GB051	0
bamb1262	GB051	0
bamb1266	GB051	0
bamb1269	GB051	0
bamw1238	GB051	0
band1339	GB051	1
band1340	GB051	0
bang1354	GB051	0
bang1363	GB051	0
bani1255	GB051	1
bann1247	GB051	NA
bara1361	GB051	0
bara1380	GB051	1
bard1255	GB051	NA
bare1276	GB051	1
bare1279	GB051	1
bata1293	GB051	NA
bath1248	GB051	1
bats1242	GB051	1
baur1253	GB051	1
bauz1241	GB051	0
beja1238	GB051	1
bekw1241	GB051	0
bela1256	GB051	0
bela1260	GB051	NA
beli1257	GB051	0
beli1260	GB051	0
benc1235	GB051	1
bent1238	GB051	0
berb1259	GB051	0
bert1248	GB051	0
beta1252	GB051	0
bezh1248	GB051	1
biaf1240	GB051	0
biak1248	GB051	0
biao1253	GB051	0
bidy1244	GB051	0
bier1244	GB051	0
bila1255	GB051	0
bili1250	GB051	0
bilu1245	GB051	1
bine1240	GB051	NA
bini1246	GB051	0
bira1253	GB051	1
biri1256	GB051	NA
birr1240	GB051	0
bodo1267	GB051	0
bolg1251	GB051	0
bolo1262	GB051	0
bomb1262	GB051	0
bona1250	GB051	0
bond1245	GB051	0
bong1284	GB051	0
bong1285	GB051	0
bora1263	GB051	1
bora1271	GB051	1
bord1248	GB051	0
boru1252	GB051	0
bouy1240	GB051	0
brah1256	GB051	0
brib1243	GB051	0
budu1248	GB051	1
bugl1243	GB051	0
buki1249	GB051	1
buku1249	GB051	0
bula1255	GB051	0
bull1247	GB051	0
buna1275	GB051	0
buna1278	GB051	0
bunu1267	GB051	NA
bura1267	GB051	1
bure1242	GB051	0
buru1296	GB051	1
buru1303	GB051	NA
buwa1243	GB051	0
cabe1245	GB051	0
cacu1241	GB051	1
cavi1250	GB051	0
cemu1238	GB051	NA
cent2050	GB051	0
cent2126	GB051	0
cent2142	GB051	0
cent2150	GB051	0
chac1249	GB051	0
